,estimated_distance,date,n_dispersion,dispersion_length,chisq,dof,energy,model_field_line_length_idl,TIME,GSM_X,GSM_Y,GSM_Z,MLT,L,STORM_PHASE,BX_GSM,DIST,BETA,datetime_str,KP,SW_P,DST,IMF_BY,IMF_BZ,direction,p_value,region,index,location,direction_et,dispersion_time,model_field_line_length_python,FlLen
193,10.54089698038142,2016-09-20,2.0,4,5.663026890355908,2.0,1117.4626541137695,10.169269138895249,1474340400.0,-3.8712920185042847,8.567796985469922,-2.2839317098684204,19.719542819081852,9.991085493314978,0.0,-47.712059020996094,9.675466489244847,0.34608319336992355,2016-09-20 02:52:30,2.0,5.833374977111816,-33.85000133514404,-5.071874976158142,2.347124919295311,PARA,0.05892360850149392,BL,193,south,outward,20.0,,10.285499205595212
194,10.551406397264142,2016-01-14,1.0,4,5.662933852622785,2.0,1117.4627075195315,9.705145154195126,1452798900.0,4.492582523051521,-7.693935099151098,-2.9739646835260847,7.709843808938739,11.364040483640942,0.0,9.551015973091124,9.393094187386112,0.34125196067534413,2016-01-14 19:07:30,1.0,1.2670000195503233,-10.999999999999996,-3.49399995803833,-0.3865000046789648,PARA,0.05892634962473153,BL,194,south,outward,20.0,,9.664518599665614
195,10.555846908623971,2016-09-08,2.0,3,5.662926420514445,2.0,626.4617970784507,12.309795364511915,1473293250.0,-4.257097363713524,10.652657016425634,-2.6413287668361716,19.41778801272454,12.470225883036377,4.0,-20.94539451599121,11.772006384395139,0.27794632849313866,2016-09-08 00:02:30,2.0,1.2260000705718994,-22.333333333333332,2.4773333072662354,-1.5673333009084065,PARA,0.01732718882508877,BL,195,south,outward,15.0,,12.47549060756001
196,10.58486133516483,2016-06-08,7.0,5,2.014269804224333,3.0,801.4623779296875,11.659667196647689,1465379550.0,-11.750145004563057,-2.0586954025584747,-0.6995192717792709,0.720401715068751,14.135226499274035,0.0,-42.67033081054687,11.94981355390194,0.033879448046959186,2016-06-08 09:42:30,2.0,1.6467999696731568,-17.36000003814697,-4.27480001449585,-2.546400022506714,PARA,0.5694502422719669,Lobe,196,south,outward,25.0,,11.714769107490662
197,10.644054528861279,2016-04-02,3.0,5,15.08451284722712,3.0,662.5295394897463,10.077772096956371,1459632750.0,-1.7221757926795689,-8.324824469091851,-6.1183211034825975,5.64168204419607,16.415585535410553,2.0,-62.513362884521484,10.474167839615014,0.006754718252461626,2016-04-02 21:22:30,2.0,3.8426000595092775,-46.60000076293945,-0.05480003952980046,-6.564400100708008,PARA,0.001745832755740473,Lobe,197,south,outward,25.0,,10.096369689809679
198,10.764276479140142,2016-02-25,2.0,5,12.99683866260744,3.0,385.93349304199216,9.959661534539245,1456411650.0,-1.4372162117558929,-8.942968624170442,-3.710239561632791,5.36019487192379,11.387212242984937,0.0,-20.823322677612303,9.78858618685403,0.7954330993062758,2016-02-25 14:37:30,0.0,2.8100000381469727,3.959999942779541,-6.526000118255615,3.7448000431060793,PARA,0.004643447001020706,BL,198,south,outward,25.0,,9.633802412373134
199,10.93445630573383,2016-09-10,1.0,7,15.585668360784767,5.0,257.90364265441895,7.835655593106249,1473487950.0,-5.180440968816153,5.3754106332352665,-1.8107552517373313,20.97300589472856,7.948925781326542,4.0,-46.55048697335379,7.683097856470754,0.49559121084977287,2016-09-10 05:57:30,2.0,1.3619999885559082,-8.371428489685059,3.8240000861031667,-0.2008571427847657,PARA,0.008132167505755739,BL,199,south,outward,35.0,,7.925893915822944
200,10.985459563261962,2016-03-19,1.0,6,9.114296995629628,4.0,288.98185030619305,7.023700775239395,1458355200.0,2.527841341678384,-5.919651340664578,-3.7311750367121683,7.222568186005603,10.578494234936697,4.0,28.25346914927165,7.441282180190466,0.11047026108314233,2016-03-19 02:27:30,2.0,1.9507499734560652,-18.93333339691162,-6.827666838963826,1.2766666611035669,PARA,0.05830523583222269,BL,200,south,outward,30.0,,7.035069620051012
201,11.00099653822164,2016-08-02,4.0,4,29.90740423263631,2.0,357.61772060394287,6.678704606630642,1470159600.0,-1.950772018701827,6.220323317183321,-2.672040378111972,18.323908605088114,8.963330823695559,2.0,-3.310249648988247,7.046097063585218,0.45449133370276545,2016-08-02 17:32:30,2.0,3.626000165939331,23.75,5.333000063896179,13.25600028038025,PARA,3.2039791919569183e-07,BL,201,south,outward,20.0,,6.709704332027362
202,11.042495832528278,2016-05-16,1.0,5,4.788400143628486,3.0,1482.6303771972657,8.824694406965854,1463372550.0,-8.876327659987627,-0.4051484181960706,-1.3358834895437144,0.1812671084720677,9.944024673559953,0.0,-63.17070388793945,8.985927345163727,0.2360281113606418,2016-05-16 04:12:30,3.0,1.7681000232696533,-10.439999961853028,5.658933544158936,-1.5121333360671998,PARA,0.18796362757122087,BL,202,south,outward,25.0,,8.898296843347484
203,11.075943438351072,2016-08-15,4.0,4,3.208672130325601,2.0,559.0914878845216,11.462394006366893,1471234800.0,-8.237329180258847,7.4421921231527435,-2.415764778646681,21.143984598874404,12.22776795777956,0.0,-32.956604957580566,11.361297584984785,0.11290852173064989,2016-08-15 04:12:30,2.0,1.124000012874603,-9.149999856948853,4.399499893188477,-0.3839999958872795,PARA,0.20102297677097614,BL,203,south,outward,20.0,,11.575247306991903
