,index_m,index_a,Unnamed: 0,estimated_distance,date,n_dispersion,dispersion_length,chisq,dof,energy,model_field_line_length_idl,TIME,GSM_X,GSM_Y,GSM_Z,MLT_x,L,STORM_PHASE,BX_GSM,DIST,BETA,datetime_str,KP,SW_P,DST,IMF_BY,IMF_BZ,direction,p_value,region,index_x,location,direction_et,dispersion_time,Start_time_x,Duration_datetime_x,End_time_x,BeforePeriod,AfterPeriod,overlap,Full list Index,Event Time,Duration,DIP,LANL,Max E,Min E,Flow Dir,GSM-x,GSM-y,GSM-z,RE,Dipole L,MLT_y,Blasma,AE,Unnamed: 16,Comments,max_v,min_v,mean_E,estimated_distance_m,Start_time_y,Duration_datetime_y,End_time_y,direction_m,index_auto,index_y,good_fit
12,11.0,2270.0,2270.0,17.497590255943948,2016-05-27,2.0,4.0,1.734097574441559,2.0,2883.5528259277344,9.713882215931461,1464321960.0,-9.734817952046702,0.35057717833917434,-1.1892413608761552,23.85576156177443,10.946413307132623,0.0,-59.69281768798828,9.813493150053148,0.3789690111162857,2016-05-27 04:03:00,2.0,2.7512499690055847,-2.5,-3.6237499117851257,-5.357500076293945,PARA,0.4201897906718889,BL,2270.0,south,outward,8.0,2016-05-27 04:03:00,0 days 00:08:00.000000000,2016-05-27 04:11:00,True,False,False,,2016-05-27/03:57:00,18.0,Y,N,13100.0,247.0,3.0,-9.6189027,0.45088370000000005,-1.1635046999999998,9.6995014,10.818292999999999,23.812304,,,,,398.8589547662993,54.768667598624134,6673.5,10.750008718092138,2016-05-27 03:57:00,0 days 00:18:00.000000000,2016-05-27 04:15:00,PARA,[2270],11.0,False
13,12.0,1400.0,1400.0,9.894710422253663,2016-05-28,3.0,5.0,1.405782955579634,3.0,2065.1919921875,10.193075192051381,1464410340.0,-10.212014195163523,0.04208001815278113,-1.2562672441045932,23.97441802479321,11.487772976622514,0.0,-44.44174652099609,10.289136010664897,0.6726196671427566,2016-05-28 04:35:00,2.0,,-0.2,-3.065000009536744,0.36799998581409454,PARA,0.7041797358513944,BL,1400.0,south,outward,10.0,2016-05-28 04:35:00,0 days 00:10:00.000000000,2016-05-28 04:45:00,True,False,False,73.0,2016-05-28/04:20:00,24.0,Y,Y,24800.0,134.0,3.0,-9.9963049,0.25673503,-1.2152411,10.073174,11.242694,23.897085999999998,,,,,548.794233590608,40.340018976891805,12467.0,9.830197204398074,2016-05-28 04:20:00,0 days 00:24:00.000000000,2016-05-28 04:44:00,PARA,[1400],12.0,False
14,14.0,1661.0,1661.0,12.550919660534339,2016-05-30,7.0,4.0,1.734206560436844,2.0,1489.403732299805,11.217169845250952,1464589440.0,-11.22101560928138,-0.9789335693785411,-1.2984024165245929,0.3504183819018297,12.750595801915381,0.0,-45.84547233581543,11.338251314454405,0.2949005668435636,2016-05-30 06:21:00,2.0,2.651250064373016,-12.375,-4.827500104904175,-0.3637500014156103,PARA,0.4201668938944793,BL,1661.0,south,outward,8.0,2016-05-30 06:21:00,0 days 00:08:00.000000000,2016-05-30 06:29:00,True,False,False,716.0,2016-05-30/06:12:00,24.0,Y,N,13700.0,128.0,3.0,-11.149696,-0.84890548,-1.3018324,11.257591,12.644072,0.30575874,,,,,407.8908682649483,39.42654162983744,6914.0,9.853843564043565,2016-05-30 06:12:00,0 days 00:24:00.000000000,2016-05-30 06:36:00,PARA,[1661],14.0,False
15,15.0,1191.0,1191.0,9.070779616545511,2016-06-05,8.0,4.0,1.734340212162796,2.0,769.3042831420897,11.786246543934839,1465116600.0,-11.83216300324284,-1.844763626233644,-0.9330442194249676,0.6348275763935405,13.920547280066511,0.0,-62.83206272125244,12.01142348241116,0.3588260249583751,2016-06-05 08:47:00,2.0,12.873749971389776,26.0,6.350000023841858,-5.793750047683716,PARA,0.4201388168173487,BL,1191.0,south,outward,8.0,2016-06-05 08:47:00,0 days 00:08:00.000000000,2016-06-05 08:55:00,True,False,False,395.0,2016-06-05/08:42:00,20.0,Y,N,3670.0,67.0,3.0,-11.83625,-1.7727761000000002,-0.95218186,12.006091,13.884307000000002,0.60944268,,,,,211.11385255028398,28.52470097175421,1868.5,6.205118206123779,2016-06-05 08:42:00,0 days 00:20:00.000000000,2016-06-05 09:02:00,PARA,[1191],15.0,False
16,17.0,627.0,627.0,6.163550565849392,2016-06-05,13.0,4.0,3.3503969036481984,2.0,1082.4143905639646,9.386114742496282,1465139280.0,-8.797202490805834,-4.4540407283969765,-0.4147233402159135,2.090854183214712,13.110335268545144,0.0,-76.74414825439453,9.869238183761162,0.2615659992184519,2016-06-05 15:05:00,2.0,5.383750081062317,-8.5,-15.227499961853026,-0.1912499666213988,PARA,0.18727101152021694,BL,627.0,south,outward,8.0,2016-06-05 15:05:00,0 days 00:08:00.000000000,2016-06-05 15:13:00,True,False,False,,2016-06-05/15:04:00,16.0,Y,N,24400.0,139.0,3.0,-8.8575759,-4.4398824,-0.41051114,9.916538000000001,13.163862,2.0715722,,,,,544.3504824508965,41.08573863919486,12269.5,6.688833562451632,2016-06-05 15:04:00,0 days 00:16:00.000000000,2016-06-05 15:20:00,PARA,[627],17.0,False
18,18.0,3751.0,3751.0,12.35962991549773,2016-06-06,4.0,4.0,4.011140377937748,2.0,1802.5152435302732,42.711445532153405,1465178520.0,-8.707947365053586,2.255300373292376,-0.7273223971148021,22.97495551535919,10.147357788759416,0.0,-62.43946552276611,9.024665242256157,0.3593838378966749,2016-06-06 01:59:00,2.0,4.536250114440918,-46.125,-3.401250004768372,-4.923750042915343,ANTI,0.13458353576626705,BL,3751.0,south,earthward,8.0,2016-06-06 01:59:00,0 days 00:08:00.000000000,2016-06-06 02:07:00,True,False,False,321.0,2016-06-06/01:41:00,22.0,Y,N,24400.0,139.0,4.0,-8.322101,2.4210205,-0.64639844,8.6911758,9.781084199999999,22.853460000000002,,,,,544.3504824508965,41.08573863919486,12269.5,9.197146148370994,2016-06-06 01:41:00,0 days 00:22:00.000000000,2016-06-06 02:03:00,ANTI,"[1536, 3751, 4587]",18.0,False
19,18.0,4587.0,4587.0,25.762972720898407,2016-06-06,3.0,4.0,1.319204243085669,2.0,9634.7275390625,39.52418050451315,1465177440.0,-8.374767247549343,2.3995871331300904,-0.6573353021298345,22.87003815569005,9.831154059622637,0.0,-66.42391204833984,8.736574886113333,0.2518301384159448,2016-06-06 01:41:00,2.0,4.563749909400941,-41.0,-5.194999814033507,-3.100000023841858,ANTI,0.5170570194193382,BL,4587.0,south,earthward,8.0,2016-06-06 01:41:00,0 days 00:08:00.000000000,2016-06-06 01:49:00,True,False,False,321.0,2016-06-06/01:41:00,22.0,Y,N,24400.0,139.0,4.0,-8.322101,2.4210205,-0.64639844,8.6911758,9.781084199999999,22.853460000000002,,,,,544.3504824508965,41.08573863919486,12269.5,9.197146148370994,2016-06-06 01:41:00,0 days 00:22:00.000000000,2016-06-06 02:03:00,ANTI,"[1536, 3751, 4587]",18.0,False
20,19.0,1275.0,1275.0,9.456769734666448,2016-06-06,3.0,4.0,1.336968960342376,2.0,1327.6753845214846,11.365934111874312,1465192800.0,-11.429836899875307,-0.056565154839981084,-1.1829389233412129,0.019937557388346686,12.904924967807322,0.0,-49.1778335571289,11.491052171915696,0.3065371170549842,2016-06-06 05:57:00,2.0,4.346250057220459,-51.5,-2.517500042915344,-4.857499957084657,PARA,0.5124846702259476,BL,1275.0,south,outward,8.0,2016-06-06 05:57:00,0 days 00:08:00.000000000,2016-06-06 06:05:00,True,False,False,1507.0,2016-06-06/05:33:00,44.0,Y,Y,24400.0,66.0,3.0,-11.257793,0.21925001,-1.1841231,11.322019000000001,12.688819,23.921646,,,,,544.3504824508965,28.311029791117594,12233.0,12.361217615483772,2016-06-06 05:33:00,0 days 00:44:00.000000000,2016-06-06 06:17:00,PARA,[1275],19.0,False
21,20.0,1122.0,1122.0,9.021561941356367,2016-06-11,12.0,4.0,1.733930703701708,2.0,769.3042831420897,10.609469807451863,1465648560.0,-10.610386040270901,-2.973101883373133,-0.20438627374464524,1.1754330084995934,13.878081028732355,0.0,-44.109442710876465,11.020975087498186,0.3798326997089828,2016-06-11 12:33:00,2.0,1.6562499701976778,-8.125,4.818750023841859,1.645000010728836,PARA,0.4202248508251208,BL,1122.0,south,outward,8.0,2016-06-11 12:33:00,0 days 00:08:00.000000000,2016-06-11 12:41:00,True,False,False,885.0,2016-06-11/11:43:00,68.0,Y,N,13700.0,139.0,3.0,-11.100202000000001,-2.5941179,-0.32276187,11.403864,14.070386,0.97628776,,,,,407.8908682649483,41.08573863919486,6919.5,29.225758854236513,2016-06-11 11:43:00,0 days 01:08:00.000000000,2016-06-11 12:51:00,PARA,"[1122, 1880]",20.0,False
22,20.0,1880.0,1880.0,13.16303664314879,2016-06-11,11.0,4.0,1.3369265040619371,2.0,2570.4457397460933,10.929309606317007,1465646160.0,-10.992510141969476,-2.688369738760022,-0.29126447419946955,1.0228865573851986,14.037313798832194,0.0,-40.46389198303223,11.320243857232473,0.4401339687052348,2016-06-11 11:53:00,2.0,1.409999996423721,-15.0,6.022499918937683,1.196250006556511,PARA,0.5124955494378598,BL,1880.0,south,outward,8.0,2016-06-11 11:53:00,0 days 00:08:00.000000000,2016-06-11 12:01:00,True,False,False,885.0,2016-06-11/11:43:00,68.0,Y,N,13700.0,139.0,3.0,-11.100202000000001,-2.5941179,-0.32276187,11.403864,14.070386,0.97628776,,,,,407.8908682649483,41.08573863919486,6919.5,29.225758854236513,2016-06-11 11:43:00,0 days 01:08:00.000000000,2016-06-11 12:51:00,PARA,"[1122, 1880]",20.0,False
23,22.0,1693.0,1693.0,12.55168265806284,2016-08-03,9.0,4.0,1.7342114836875828,2.0,1489.4050750732422,10.864936967953014,1470206400.0,-9.462358692067118,5.152227918144773,-1.937831800176336,22.0252180380534,12.059645029994725,2.0,-62.41075801849365,10.947026849552342,0.43662649313609936,2016-08-03 06:37:00,2.0,6.980000019073486,-59.875,12.829999923706056,-0.3775000050663948,PARA,0.4201658596022667,BL,1693.0,south,outward,8.0,2016-08-03 06:37:00,0 days 00:08:00.000000000,2016-08-03 06:45:00,True,False,False,861.0,2016-08-03/06:16:00,30.0,Y,Y,24800.0,246.0,3.0,-9.5082927,5.4437483,-2.001228,11.137636,12.235471,21.944247,,,,,548.794233590608,54.657687408397855,12523.0,17.131377058720545,2016-08-03 06:16:00,0 days 00:30:00.000000000,2016-08-03 06:46:00,PARA,[1693],22.0,False
24,23.0,454.0,454.0,4.637984643975621,2016-08-03,16.0,4.0,1.7331184999101592,2.0,205.24458503723145,7.927373183870991,1470219240.0,-7.845295096102986,2.2105386774898124,-0.599691102984913,22.892560397824504,9.120389670871472,3.0,-91.61878776550293,8.17286420650345,0.2093123983437168,2016-08-03 10:11:00,2.0,4.1775001883506775,-43.25,7.394999980926514,-14.110000133514404,PARA,0.4203955395898621,BL,454.0,south,outward,8.0,2016-08-03 10:11:00,0 days 00:08:00.000000000,2016-08-03 10:19:00,True,False,False,305.0,2016-08-03/09:50:00,23.0,Y,Y,14400.0,69.0,3.0,-8.1577988,2.567422,-0.8094923,8.590495599999999,9.605113099999999,22.771093,,,,,418.1816241778766,28.947312153581567,7234.5,6.72894704548892,2016-08-03 09:50:00,0 days 00:23:00.000000000,2016-08-03 10:13:00,PARA,"[454, 1208]",23.0,False
25,23.0,1208.0,1208.0,9.083828511226928,2016-08-03,15.0,5.0,4.017173123638613,3.0,816.2233154296875,8.129465301632106,1470218580.0,-7.995098457095223,2.3769589251428784,-0.6982371569806141,22.834858022833238,9.35085129990323,2.0,-77.57527008056641,8.370213107366519,0.25945821118006923,2016-08-03 09:59:00,2.0,3.890000009536743,-45.3,4.578000020980835,-14.604000091552734,PARA,0.2596157039475105,BL,1208.0,south,outward,10.0,2016-08-03 09:59:00,0 days 00:10:00.000000000,2016-08-03 10:09:00,True,False,False,305.0,2016-08-03/09:50:00,23.0,Y,Y,14400.0,69.0,3.0,-8.1577988,2.567422,-0.8094923,8.590495599999999,9.605113099999999,22.771093,,,,,418.1816241778766,28.947312153581567,7234.5,6.72894704548892,2016-08-03 09:50:00,0 days 00:23:00.000000000,2016-08-03 10:13:00,PARA,"[454, 1208]",23.0,False
27,25.0,1392.0,1392.0,9.859808158257248,2016-08-09,8.0,4.0,12.18879551749233,2.0,1718.9838790893555,7.540837703197278,1470736440.0,-7.300826646654423,2.4832617615430994,-0.6992600393953123,22.691209763313214,8.489046804921013,4.0,-74.83790016174315,7.7432983558329775,0.18577181756487235,2016-08-09 09:51:00,2.0,,-16.0,,,PARA,0.002255468067690836,BL,1392.0,south,outward,8.0,2016-08-09 09:51:00,0 days 00:08:00.000000000,2016-08-09 09:59:00,True,False,False,870.0,2016-08-09/09:42:00,16.0,N,Y,24000.0,133.0,3.0,-7.4620235,2.6798101,-0.81451015,7.9703577999999995,8.755070800000002,22.623628,,,,,539.8701553769615,40.1892146397705,12066.5,6.535566531379912,2016-08-09 09:42:00,0 days 00:16:00.000000000,2016-08-09 09:58:00,PARA,[1392],25.0,False
28,26.0,2310.0,2310.0,17.5757514433371,2016-08-12,3.0,5.0,4.017589884873175,3.0,3059.410302734375,11.904384614694411,1470971820.0,-8.370952671493736,7.963695207735671,-2.3130011485973325,21.02686181387086,12.702327909793098,4.0,-24.65246276855469,11.783211067941945,0.4626527703635957,2016-08-12 03:13:00,2.0,,-29.1,,,PARA,0.2595709938506834,BL,2310.0,south,outward,10.0,2016-08-12 03:13:00,0 days 00:10:00.000000000,2016-08-12 03:23:00,True,False,False,948.0,2016-08-12/03:02:00,28.0,Y,Y,24400.0,482.0,3.0,-8.3120003,8.1038561,-2.2973624,11.833836999999999,12.758356,20.976429,,,,,544.3504824508965,76.50806499137062,12441.0,23.447765883038393,2016-08-12 03:02:00,0 days 00:28:00.000000000,2016-08-12 03:30:00,PARA,"[2310, 2850]",26.0,False
29,26.0,2850.0,2850.0,34.08067133734652,2016-08-12,2.0,4.0,1.729058478441553,2.0,10808.357666015623,11.953805456148073,1470971160.0,-8.327518766764952,8.068753756973202,-2.3015011055851877,20.98924810595151,12.74457429720098,4.0,-24.28362369537353,11.821580687996821,0.3541212259575449,2016-08-12 03:03:00,2.0,,-28.625,,,PARA,0.4212498138474712,BL,2850.0,south,outward,8.0,2016-08-12 03:03:00,0 days 00:08:00.000000000,2016-08-12 03:11:00,True,False,False,948.0,2016-08-12/03:02:00,28.0,Y,Y,24400.0,482.0,3.0,-8.3120003,8.1038561,-2.2973624,11.833836999999999,12.758356,20.976429,,,,,544.3504824508965,76.50806499137062,12441.0,23.447765883038393,2016-08-12 03:02:00,0 days 00:28:00.000000000,2016-08-12 03:30:00,PARA,"[2310, 2850]",26.0,False
30,27.0,1232.0,1232.0,9.179040987732163,2016-08-12,8.0,5.0,4.019955160168829,3.0,816.2233154296875,10.717016896344713,1470981660.0,-8.579225745902963,6.0440444341468655,-2.224552386613896,21.60052993129309,11.658341241158235,4.0,-27.890258026123053,10.727678101876826,0.2939700373614025,2016-08-12 05:57:00,2.0,1.698000001907349,-23.5,3.8980000019073486,-0.5289999902248382,PARA,0.2593173799115445,BL,1232.0,south,outward,10.0,2016-08-12 05:57:00,0 days 00:10:00.000000000,2016-08-12 06:07:00,True,False,False,704.0,2016-08-12/05:39:00,49.0,Y,Y,25600.0,66.0,3.0,-8.603665199999998,6.337728500000001,-2.2785194,10.922618,11.84945,21.521959,,,,,557.5754989038354,28.311029791117594,12833.0,13.748011647526539,2016-08-12 05:39:00,0 days 00:49:00.000000000,2016-08-12 06:28:00,PARA,"[1232, 2158, 3920, 4519]",27.0,False
31,27.0,2158.0,2158.0,17.43805343607138,2016-08-12,7.0,4.0,1.7340865039982158,2.0,2883.5558471679688,10.848266081660993,1470980880.0,-8.595960901520826,6.2174354733136905,-2.257109468662496,21.55342673597796,11.774816175661556,4.0,-27.013529300689697,10.846295843904024,0.2514402468178829,2016-08-12 05:45:00,2.0,1.584999978542328,-28.5,2.951249957084656,-0.20125000178813932,PARA,0.4201921165219616,BL,2158.0,south,outward,8.0,2016-08-12 05:45:00,0 days 00:08:00.000000000,2016-08-12 05:53:00,True,False,False,704.0,2016-08-12/05:39:00,49.0,Y,Y,25600.0,66.0,3.0,-8.603665199999998,6.337728500000001,-2.2785194,10.922618,11.84945,21.521959,,,,,557.5754989038354,28.311029791117594,12833.0,13.748011647526539,2016-08-12 05:39:00,0 days 00:49:00.000000000,2016-08-12 06:28:00,PARA,"[1232, 2158, 3920, 4519]",27.0,False
34,28.0,1986.0,1986.0,14.179168232891278,2016-08-13,11.0,8.0,8.253980105650216,6.0,2129.5304985046387,8.475028845825133,1471077480.0,-7.664421049209364,3.71273652690822,-1.3519083622119972,22.21584294975664,9.421074796204296,4.0,-49.38043594360352,8.623146747288752,0.2679941463631854,2016-08-13 08:31:00,2.0,0.9475000003973644,-16.75,1.8358333110809324,-1.0175000031789143,PARA,0.2200803672487207,BL,1986.0,south,outward,16.0,2016-08-13 08:31:00,0 days 00:16:00.000000000,2016-08-13 08:47:00,True,False,False,712.0,2016-08-13/08:29:00,22.0,Y,N,13400.0,143.0,3.0,-7.7446069,3.8567186,-1.4256376,8.768446699999998,9.5835028,22.173793,,,,,403.40018976891804,41.67270749910569,6771.5,9.618031470891847,2016-08-13 08:29:00,0 days 00:22:00.000000000,2016-08-13 08:51:00,PARA,[1986],28.0,False
