,estimated_distance,date,n_dispersion,dispersion_length,chisq,rsquare,dof,energy,model_field_line_length_idl,TIME,GSM_X,GSM_Y,GSM_Z,MLT,L,STORM_PHASE,BX_GSM,DIST,BETA,datetime_str,KP,SW_P,DST,IMF_BY,IMF_BZ,direction,p_value,region,index,location,direction_et,dispersion_time
3564,7.010064007281955,2016-08-09,1.0,4,3.467339133456496,0.9372730316132096,2.0,1933.8762512207031,26.178707295657908,1470709440.0,-8.414813970560301,8.226791224530944,-2.1576866463515354,20.95237513097787,12.953127760655075,4.0,-27.946710109710693,11.964333982210658,0.8068407015336464,2016-08-09 02:21:00,2.0,2.291249990463257,-11.625,1.3537500202655792,-1.2125000320374966,ANTI,0.17663504517002748,BL,3564,south,earthward,8.0
3565,7.011750652321316,2017-02-26,2.0,0,3.4673570831678813,0.9372730570760494,2.0,1933.8761596679688,,1488096960.0,,,,0.0,0.0,0.0,-7.4662463665008545,,0.8065355331852435,2017-02-26 08:13:00,0.0,1.3137499988079069,-6.0,1.1525000333786009,2.3850000500679016,ANTI,0.17663345990310064,BL,3565,,,8.0
3566,7.01175173545,2019-07-04,5.0,4,3.3220275331695386,0.9372730316132096,2.0,1933.8762512207031,32.28637424920441,1562236680.0,-23.098114806700124,-13.633488411451355,9.973046292931086,1.8974943623184268,28.600173060428844,0.0,6.6713457107543945,28.615670675157315,8.766804806181586,2019-07-04 10:35:00,2.0,1.4733333587646482,-3.625,1.2674999833106995,2.653750002384186,ANTI,0.18994632122909505,PS,3566,north,outward,8.0
3567,7.011779863481414,2018-09-10,1.0,4,3.4673592722989066,0.9372730316132096,2.0,1933.8762512207031,29.34806436882222,1536550560.0,-16.201509724139086,18.753495772083625,1.5513882987952103,20.70424742868397,25.096338148984,0.0,3.748184025287628,24.83123475468754,9.738096216255162,2018-09-10 03:33:00,0.0,,-2.0,,,ANTI,0.17663326656631284,PS,3567,north,outward,8.0
3568,7.013918497785452,2016-04-29,4.0,4,12.185755825271759,0.8797105313660873,2.0,887.883052825928,37.04842315224549,1461948240.0,-7.121681368510359,-8.07717641262526,-3.5535438960401025,3.8750221536237923,16.09905709972118,0.0,-27.146570682525635,11.33963930202205,0.5970999875316771,2016-04-29 16:41:00,0.0,2.2549999952316284,6.0,2.252499997615814,3.7975000739097595,ANTI,0.0022588986383696996,BL,3568,south,earthward,8.0
3569,7.0159548313263915,2016-03-23,1.0,4,12.185789654805319,0.879710631786284,2.0,887.8838233947754,34.196178181288246,1458691560.0,0.8793858416207772,-7.6301893899895985,-5.690928444436861,6.354065376795201,14.857920794306684,0.0,-6.333702802658081,9.559316344725683,0.3009414017526717,2016-03-23 00:03:00,2.0,1.0587500035762785,-8.875,5.81499981880188,2.840000033378601,ANTI,0.002258860429949272,BL,3569,south,earthward,8.0
3570,7.0477015570787405,2018-04-15,1.0,4,11.620394725983232,0.947630913215303,2.0,1557.2527618408203,13.296026539913786,1523806200.0,-5.113825060594617,-6.9974635510677565,-0.2782480094758171,3.7211465311998513,9.102893017595123,0.0,-14.169346332550049,8.671457583477828,0.530670232772933,2018-04-15 15:27:00,1.0,1.2725000381469727,-7.25,-1.4874999821186066,0.998750012367964,ANTI,0.0029968385489339555,BL,3570,south,earthward,8.0
3571,7.067638642283938,2017-05-10,2.0,5,7.733564218481928,0.9508306245731886,3.0,1931.5438842773438,13.787756611317198,1494395580.0,-1.0902998861486415,-11.715846752614585,1.0674552012873482,5.598493023657267,11.869815340802669,0.0,5.858697128295899,11.814859320110948,2.4914466521196488,2017-05-10 05:49:00,2.0,1.8170000314712524,7.1,-5.170000076293945,1.4389999985694886,ANTI,0.05185133683670973,PS,3571,north,outward,10.0
3572,7.08246298188476,2016-10-22,1.0,4,12.187841303005722,0.879710639789954,2.0,887.8838806152346,9.50276885704569,1477099680.0,-0.6696527179997902,7.44546730038804,-0.6260618661862476,18.422770957097125,7.514144952329825,0.0,-28.27719020843506,7.501763615509228,0.24163447875284813,2016-10-22 01:25:00,2.0,1.7024999558925629,-2.5,-3.4687499999999996,2.909999966621399,ANTI,0.0022565444245913335,BL,3572,south,earthward,8.0
3573,7.107600130451952,2018-08-26,5.0,5,1.405231698057569,0.9735069352929904,3.0,1066.7114013671876,23.819060625788154,1535296260.0,-15.45030024052808,15.063900058251528,0.669143803181899,20.97183991327635,22.47272434766292,0.0,14.032496070861816,21.588930310801143,4.651343771159843,2018-08-26 15:07:00,5.95,4.766999912261963,-73.6,3.715999937057495,-12.781999778747556,ANTI,0.704308851568583,PS,3573,north,outward,10.0
3574,7.109338273593807,2019-07-10,6.0,5,1.3463385033624542,0.9735069352929904,3.0,1066.7114013671876,31.54546953655098,1562799660.0,-25.676539943048887,-11.232220622098174,6.984162066365134,1.534609177794128,29.169015144350556,0.0,18.081818771362304,28.882972338279803,0.2565925130353143,2019-07-10 22:57:00,2.0,1.6424999833107,-26.0,3.9569998741149903,1.4390000104904177,ANTI,0.7181600429513162,BL,3574,north,outward,10.0
3575,7.133445271190264,2019-09-25,1.0,4,11.127575889295489,0.9476309253859032,2.0,1557.2541885375977,41.475448769735905,1569442200.0,-16.822233005282953,22.231454862594987,0.9765239851958465,20.476709252968725,27.872109415702866,0.0,6.006131529808044,27.895862341642292,2.236297854349988,2019-09-25 20:07:00,0.0,1.7175000309944153,-2.75,-3.427500009536743,0.9575000107288361,ANTI,0.00383422502295494,PS,3575,north,outward,8.0
3576,7.136391320857898,2016-04-23,3.0,6,4.339391752315202,0.9624821788972265,4.0,574.3291625976564,21.4577239167895,1461452760.0,-0.929020234757331,-5.62624871717433,-3.3214355999578515,5.853871462286898,9.055789287913903,0.0,-20.242142041524254,6.599474796722258,0.13737723730807203,2016-04-23 23:01:00,4.0,3.3769999980926513,-12.416666666666666,4.010833342870076,6.410833358764648,ANTI,0.3620184031594872,BL,3576,south,earthward,12.0
3577,7.1456003186632895,2016-04-10,3.0,5,11.61418472042796,0.9476338991368708,3.0,1317.1994873046874,28.69334586491275,1460329860.0,-0.861466505155964,-6.84329855778973,-4.6981195382845495,5.864985577604212,12.381183863161784,0.0,-18.58874168395996,8.34545731132924,0.2362589004209311,2016-04-10 23:07:00,2.0,1.8637499809265141,-12.5,-1.747000074386597,5.9679999351501465,ANTI,0.008828726015316923,BL,3577,south,earthward,10.0
3578,7.146511792970612,2019-06-27,2.0,4,11.127399277383521,0.9476309253859032,2.0,1557.2541885375977,33.62870277945104,1561622040.0,-21.602006231385857,-16.768603605672844,9.28497366852897,2.379068344163674,29.11627988694598,0.0,9.865216255187988,28.879817042732796,1.5850081229567032,2019-06-27 07:51:00,0.0,0.8166666825612386,-1.375,-1.4387499988079073,1.5175000131130216,ANTI,0.0038345636228109825,PS,3578,north,outward,8.0
3579,7.148198229232869,2018-07-18,1.0,4,11.614150773809161,0.9476309253859032,2.0,1557.2541885375977,23.385501852917525,1531894440.0,-21.1945146415295,3.06554948472908,6.5704008325065395,23.473517459384894,22.556828377795522,0.0,20.67017698287964,22.40033971197795,0.17898834971130143,2018-07-18 06:11:00,1.0,1.633750021457672,-1.0,3.4112499356269836,0.4100000038743019,ANTI,0.003006209227125911,BL,3579,north,outward,8.0
3580,7.15253637528687,2019-07-07,5.0,4,11.127379494413741,0.9476309253859032,2.0,1557.2541885375977,32.84879747942182,1562520000.0,-24.78278820408439,-13.014037990465576,8.012940548175616,1.8165380099452135,30.51478647461402,0.0,16.96485424041748,29.116324858261024,0.3351869476551224,2019-07-07 17:17:00,1.0,1.6683333317438767,-0.125,-1.217500030994415,-2.0499999821186066,ANTI,0.003834601552526795,BL,3580,north,outward,8.0
3581,7.152805119863748,2018-08-21,11.0,4,11.61413994169525,0.9476309253859032,2.0,1557.2541885375977,26.41861773885197,1534888800.0,-21.890366083714788,9.921608134428448,5.664963836525852,22.420566418998952,24.666677390362832,0.0,10.797723054885866,24.6924765022991,2.22351171335054,2018-08-21 21:57:00,2.0,2.158750057220459,4.75,1.1725000143051143,0.5775000154972076,ANTI,0.0030062255089703394,PS,3581,north,outward,8.0
3582,7.180161080998567,2019-05-07,5.0,4,11.127776676347288,0.9476309253859032,2.0,1557.2543029785156,19.948917175998027,1557255840.0,-7.088949515316278,-15.090195044790867,0.9913031348326937,4.370962632595354,16.939633711805666,0.0,11.048702955245973,16.701826843892874,2.6705740017596096,2019-05-07 19:01:00,2.0,2.102500021457672,-6.5,-2.665000021457672,-1.7437500059604643,ANTI,0.0038338401109074827,PS,3582,north,outward,8.0
3583,7.208424940946133,2017-01-04,1.0,4,11.615838620386091,0.9476309253859032,2.0,1557.2543029785156,18.271137128462215,1483571520.0,5.203153018668466,-3.6701878320745944,-1.8670885742446588,9.195008875843644,9.727779219132064,0.0,86.87405014038086,6.6355525959041035,0.07303446824643671,2017-01-04 23:09:00,2.0,2.7962499260902405,-22.0,-7.071250081062317,-2.318749912083149,ANTI,0.0030036732873689465,Dayside,3583,south,earthward,8.0
3584,7.245015228681575,2017-07-05,1.0,4,0.1501968325884311,0.9981813462202772,2.0,3582.3470001220703,7.080699329535193,1499247120.0,-4.642744397667567,-3.97849721056752,3.6735565699898816,2.3636040195280206,7.705267869708878,0.0,79.23971939086914,7.133006913299438,0.11903961250811088,2017-07-05 09:29:00,2.0,0.6916666626930237,-4.75,-2.2774999737739563,0.8150000125169754,ANTI,0.927652185745452,BL,3584,north,outward,8.0
3585,7.245030293528131,2018-07-12,2.0,5,4.305855353539692,0.9475107664829745,3.0,652.3194427490234,14.438104785481565,1531363740.0,-12.896307999907767,3.1564801047796234,4.134231000779089,23.12343678717385,13.951173913845622,0.0,35.75137710571289,13.905762154896882,0.16721610499059045,2018-07-12 02:45:00,2.0,2.873333295186361,4.5,6.586999988555908,0.4220000058412552,ANTI,0.23027514116382397,BL,3585,north,outward,10.0
3586,7.245453443134773,2018-07-26,4.0,4,0.1438952602952276,0.9981813540517112,2.0,3582.346664428711,19.11561017241908,1532596800.0,-16.108156219851107,7.165600523531753,3.2698491624046677,22.426670974137885,17.975886043370256,0.0,12.924633741378786,17.93071517274108,1.223750982356266,2018-07-26 09:17:00,1.0,0.9525000005960464,-4.375,-1.6512499749660494,0.8862499892711639,ANTI,0.9305796288529201,PS,3586,north,outward,8.0
3587,7.248301636060712,2016-09-17,1.0,4,14.326983796435671,0.946141030313544,2.0,4105.016227722168,19.340963724533292,1474155600.0,-2.8196190637606007,10.93622816908727,-2.5668868484448537,18.97087014005178,12.15471706206204,0.0,-9.640170574188232,11.581912480171635,2.9582136086829105,2016-09-17 23:37:00,2.0,1.9862500131130216,7.0,-2.0549999475479126,-3.981250047683716,ANTI,0.0007743458897488953,PS,3587,south,earthward,8.0
3588,7.250292877075768,2016-04-03,4.0,4,0.1501577531243696,0.9981813540517112,2.0,3582.346664428711,36.36051933751638,1459695360.0,-5.6702249502548945,-9.475108397057317,-4.360434302664176,4.322691873835774,15.251462647856998,4.0,-26.059932708740234,11.871946929529411,0.7065426855642392,2016-04-03 14:53:00,2.0,2.290000041325887,-21.0,-2.5924999713897705,-1.403750032186508,ANTI,0.9276703119976697,BL,3588,south,earthward,8.0
3589,7.258873506405674,2018-08-01,1.0,5,4.125054206637664,0.9475107664829745,3.0,652.3194427490234,22.96519078884571,1533106980.0,-19.692639860466848,8.234660760668314,4.459035122512349,22.519131606016263,21.830044133161596,0.0,19.37265739440918,21.805798718840375,0.27106912696408714,2018-08-01 06:59:00,0.0,2.658999967575073,6.0,0.977999997138977,1.7000000119209289,ANTI,0.24827331634891936,BL,3589,north,outward,10.0
3590,7.272058601158736,2018-07-09,9.0,5,4.305355479243984,0.9475107664829745,3.0,652.3194427490234,25.51216846297516,1531176180.0,-22.3377677076635,-2.7177406674969724,7.322455742962072,0.4409946402428968,23.774849073652256,0.0,14.92562580108643,23.66390701373147,0.1968416764516244,2018-07-09 22:39:00,0.0,,-0.8,,,ANTI,0.23032320712686605,BL,3590,north,outward,10.0
3591,7.27341504011066,2018-09-11,4.0,4,46.55611795682257,0.8061260551999693,2.0,848.1397690773013,7.232562796751437,1536699840.0,0.27044441272667297,6.464826338807592,0.4873921023495009,17.884139700832836,6.523900258705448,0.0,15.60067844390869,6.488941223875818,0.2258048546773583,2018-09-11 21:01:00,3.0,1.5912499725818632,-23.5,-1.4924999810755253,1.507499985396862,ANTI,7.770828425179843e-11,BL,3591,north,outward,8.0
3592,7.27439257803358,2019-06-29,7.0,5,4.1249202390526305,0.9475107664829745,3.0,652.3194427490234,28.456730434324403,1561845060.0,-21.804636790484587,-11.751060675656728,6.860920740668798,1.82924275476929,26.077499777369603,0.0,15.081578254699703,25.702182902161837,0.43508169322024115,2019-06-29 21:47:00,1.0,1.390999984741211,1.4,-3.1080000400543213,0.016999995708465575,ANTI,0.2482871167434998,BL,3592,north,outward,10.0
3593,7.315941536122904,2019-06-30,1.0,4,11.1409429771128,0.9476309253859032,2.0,1557.2541885375977,31.46517259790568,1561876800.0,-23.311099672483046,-12.767125689022027,9.708460359287288,1.802989190728322,28.7014878168538,0.0,13.299876928329466,28.295960740644567,0.612544653242972,2019-06-30 06:37:00,0.0,1.352500021457672,3.25,-0.05249999836087229,2.334999978542328,ANTI,0.0038086842581448455,BL,3593,north,outward,8.0
3594,7.317655390392523,2016-03-30,1.0,4,13.189524314788189,0.9233038695274116,2.0,4026.817840576172,19.50804380033204,1459302240.0,1.495419711521161,-5.734522528005275,-3.6791743044949583,6.869550243682156,9.784189847009765,0.0,21.897310256958008,6.975586604750243,0.040233283743431845,2016-03-30 01:41:00,2.0,1.5300000111262004,-9.5,1.8912500143051147,-2.432499945163727,ANTI,0.0013675121246835564,Lobe,3594,south,earthward,8.0
3595,7.404646111294728,2018-07-02,2.0,2,0.1413769289842027,0.9955641276956012,1.0,1014.5652770996094,27.57015862151048,1530489720.0,-22.428492919468844,-9.340043411887184,6.959740267890422,1.447575234477544,25.297691286685883,0.0,14.06081485748291,25.272746239826542,0.350771073272277,2018-07-02 00:01:00,0.0,1.1449999809265141,-3.0,-1.397499978542328,-0.2225000038743019,ANTI,0.706915977622234,BL,3595,north,outward,6.0
3596,7.42196783557549,2017-05-10,1.0,4,7.3598262981806215,0.9338366077162148,2.0,2325.1847076416016,17.0941851068346,1494389040.0,-2.3254234208254143,-13.678102983776272,-0.024526121948152655,5.364289324389654,13.868243980654295,0.0,3.475838467478752,13.874427574466647,4.662768778400155,2017-05-10 04:01:00,2.0,1.4350000023841856,2.875,-4.852500081062317,3.0337499976158138,ANTI,0.02522516556866894,PS,3596,south,outward,8.0
3597,7.451792618114742,2019-01-30,1.0,5,7.919479845131503,0.9071425270932959,3.0,1099.0154174804688,8.648228978937421,1548849300.0,4.498101114169977,4.187227155289167,0.28453206318726953,14.900198770382609,6.286212681896421,0.0,5.563624572753906,6.152191027278929,0.025692507920381837,2019-01-30 11:51:00,0.0,1.3199999809265137,4.2,2.075999975204468,0.7139999985694885,ANTI,0.0477054585472132,Dayside,3597,north,outward,10.0
3598,7.479802555429461,2019-07-01,1.0,4,7.0490797961933085,0.9338366480951946,2.0,2325.184745788574,30.37753892132113,1561959240.0,-20.09303616268477,-16.749587218402453,6.448051337402043,2.5671872320064697,26.99094723883009,0.0,21.958304405212402,26.9417284411695,0.23021867133504487,2019-07-01 05:31:00,2.0,4.554999947547913,-20.375,-6.293750047683716,-5.588750004768372,ANTI,0.029465361319594874,BL,3598,north,outward,8.0
3599,7.503210092023593,2016-05-28,2.0,4,7.357779338675026,0.933836680929695,2.0,2325.182289123535,61.24782798904386,1464425400.0,-11.557493505898744,-2.716201103795991,-1.1439065023636306,0.9453274408716723,13.785924409111342,0.0,-32.10810565948486,11.927381691638903,0.2695589610537022,2016-05-28 08:47:00,2.0,,-5.25,,,ANTI,0.02525099623121463,BL,3599,south,earthward,8.0
3600,7.527032521656031,2017-08-23,3.0,4,4.191142407737661,0.9369927493330672,2.0,2246.986358642578,27.175864808318213,1503517920.0,-18.79910519204856,15.336830116486524,2.535096436659083,21.373225396665767,24.836505798345556,0.0,5.975847959518433,24.393689502559432,3.7992748922448096,2017-08-23 19:49:00,2.0,2.479999939600627,-25.625,0.04125000536441803,-3.246250033378601,ANTI,0.12299996552813419,PS,3600,north,outward,8.0
3601,7.529474974531611,2018-06-28,1.0,4,4.190988426933262,0.9369927493330672,2.0,2246.986358642578,15.065868485467046,1530147840.0,-13.61273860766693,-0.5098576532141293,4.2456068999325245,0.13656835742730375,14.25470393137157,0.0,21.436747550964355,14.268565452708565,0.4374507039743841,2018-06-28 01:01:00,2.0,1.125,-10.625,-1.6012499928474426,2.4424999952316284,ANTI,0.12300943570950262,BL,3601,north,outward,8.0
3602,7.539117219290638,2016-04-21,3.0,6,11.248373597450462,0.9555237349504552,4.0,1027.4750340779624,27.425800934553664,1461275880.0,-2.2135852688327837,-6.747642701658129,-4.263708805359504,5.383520527356602,12.145613556386516,0.0,-28.898128827412922,8.283232163382069,0.3410689693712683,2016-04-21 21:53:00,1.0,3.596999931335449,3.0833333333333335,-2.4225000143051147,5.162500063578288,ANTI,0.02390998363989072,BL,3602,south,earthward,12.0
3603,7.569339016824067,2016-02-28,2.0,4,4.189752947898581,0.93699274256275,2.0,2246.986297607422,23.123564131762432,1456672440.0,-1.4775358805832919,-9.370390087152975,-4.162276781817525,5.4181061579732965,12.35487777906971,0.0,-16.56579613685608,10.359183540428912,0.8467037449354612,2016-02-28 15:11:00,0.0,1.7712499797344208,1.0,3.5799999237060547,0.7537500038743019,ANTI,0.12308544697410984,BL,3603,south,earthward,8.0
3604,7.570091787640277,2019-05-18,1.0,4,4.014144264564527,0.93699274256275,2.0,2246.986297607422,13.845967990382253,1558150560.0,-8.23277392117432,-9.434518039762807,2.9941546678981714,3.1677392752884375,13.024145455317734,0.0,20.97195529937744,12.874547648209532,0.7166806451324452,2019-05-18 03:33:00,1.0,1.0024999976158142,-6.0,6.481249928474426,-0.3412500023841858,ANTI,0.1343815506477002,BL,3604,north,outward,8.0
3605,7.570106687552185,2017-08-17,1.0,4,4.189752512616779,0.93699274256275,2.0,2246.986297607422,22.506253616707085,1502937120.0,-12.127421537612609,14.64639297250043,-0.5103222914612491,20.62488278020151,19.15313669967167,0.0,2.5716755893081427,19.022406670142708,6.98762250798012,2017-08-17 02:29:00,2.0,3.5362499952316284,12.875,3.241249918937683,1.4962499737739563,ANTI,0.12308547376254042,PS,3605,south,outward,8.0
3606,7.570276627605785,2016-05-10,2.0,4,4.189741524907099,0.936992773047056,2.0,2246.9842529296875,29.741743208520816,1462851000.0,-7.200647257952106,0.20996690967898127,-1.0221350849734183,23.884868531812003,7.922211618601415,4.0,-81.60696983337402,7.275953408804049,0.19223227865100237,2016-05-10 03:27:00,4.0,1.25,-37.375,-1.5312499701976774,-2.373750001192093,ANTI,0.12308614997812362,BL,3606,south,earthward,8.0
3607,7.5706591490043875,2018-06-29,4.0,4,4.1897529625770735,0.9369927493330672,2.0,2246.986358642578,25.524082736975622,1530289440.0,-18.467615121969313,-10.53443259921851,7.715131052272808,1.8744819584415033,23.128811584828735,0.0,13.536478042602537,22.617501181838133,0.4066629376257947,2018-06-29 16:21:00,1.0,,-11.0,,,ANTI,0.12308544607075544,BL,3607,north,outward,8.0
3608,7.571986925778183,2016-10-19,4.0,4,4.189755180190511,0.93699274256275,2.0,2246.986297607422,8.52746940636342,1476843360.0,-1.3314409251206807,6.74402382465834,-0.7281968847877707,18.830922296328325,6.916743514842688,4.0,-32.81594896316529,6.912751963265585,0.24653334321719733,2016-10-19 02:13:00,2.0,1.7987499833106995,-13.5,-3.056249976158142,-0.01374999061226842,ANTI,0.12308530959286146,BL,3608,south,earthward,8.0
3609,7.608125493789287,2019-08-09,4.0,4,4.015161087482434,0.9369927493330672,2.0,2246.986358642578,42.7900051376577,1565363160.0,-12.778204495904887,-4.864619665832389,1.2366125704519126,1.4523504843399362,15.04314760649971,0.0,-26.663159370422363,13.728688337392882,0.9871937092446086,2019-08-09 15:03:00,2.0,,-19.0,,,ANTI,0.13431324689215618,BL,3609,north,earthward,8.0
3610,7.6719491735063565,2017-04-17,2.0,5,25.91889680203726,0.9187800338484916,3.0,2448.809375,15.320981377056668,1492464780.0,3.172594225365205,-10.372396263722289,-2.036594965455194,7.265249174764385,11.160258588991864,0.0,7.642402935028076,11.036327468864215,2.2744804277065436,2017-04-17 21:29:00,2.0,1.7040000200271606,4.8,1.5690000414848329,1.4619999647140502,ANTI,9.917684414495476e-06,PS,3610,south,earthward,10.0
3611,7.849319534116646,2018-03-01,1.0,5,4.3796774704031085,0.9649965743613848,3.0,1747.879217529297,15.514415240995797,1519919100.0,2.6233332745990516,-10.581161681863161,-1.1702752890283772,6.938445301177611,11.063363317381317,0.0,2.1365301609039307,10.964186299446606,1.6605833199956834,2018-03-01 15:41:00,1.0,1.476666688919068,-1.5,2.7229999542236327,-2.275000047683716,ANTI,0.22327717169600148,PS,3611,south,earthward,10.0
3612,8.000804372492219,2016-09-15,4.0,6,5.667571165487238,0.9604046218300751,4.0,710.9161275227866,19.239707374106846,1473942960.0,2.6859395018428907,4.9602838107475415,-4.339429401038804,15.810408358989656,10.329178310920854,0.0,53.48572794596354,7.117058681492497,0.17341922892394335,2016-09-15 12:31:00,2.0,2.7366665999094644,-6.416666666666667,5.395833333333333,1.6666666865348816,ANTI,0.22538778646437851,Dayside,3612,south,earthward,12.0
3613,8.163904564929302,2016-09-29,3.0,4,5.911349926150018,0.9811229970321936,2.0,4188.54753112793,20.63372526803486,1475179440.0,0.540208347300029,11.488540174971606,-3.297331350550755,17.758575126522246,12.910125050320786,3.0,-0.3778606541454792,11.96459479854807,1.3502963829788754,2016-09-29 20:01:00,2.0,1.8675000369548798,-35.75,1.1437499821186066,3.6825000643730164,ANTI,0.052043521263284265,PS,3613,south,earthward,8.0
