,estimated_distance,date,n_dispersion,dispersion_length,chisq,dof,energy,Time,GSM_X,GSM_Y,GSM_Z,Storm_phase,DIST,Beta,datetime_str,kp,SW_p,Dst,IMF_By,IMF_Bz,direction,FlLen,goodness_of_fit,region
1018,43.661497,2016-05-25,3.0,4,1.3804861,2.0,2883.552725,1464174300.0,-11.16523525,-4.244767449999999,-0.99358723,0.0,11.986262,0.38476687,2016-05-25 10:56:40,2.0,0.8916250175,1.0,0.9825000675000001,-0.449500025,para,15.489372890966209,0.5014541758161465,BL
1019,43.661535,2017-09-18,3.0,4,1.3804883,2.0,2883.5558,1505725200.0,-11.895359500000001,17.536950499999996,-3.829277825,4.0,21.533899500000004,1.8372319325,2017-09-18 08:53:20,2.0,3.2150000999999997,-20.099999999999998,1.943499995,1.5115000025,para,35.499998966594895,0.5014536242168561,PS
1020,43.661716,2016-09-14,4.0,4,1.3804884,2.0,2883.555775,1473891300.0,-2.51642015,11.30622825,-2.8797286499999997,0.0,11.93562075,0.6172414825,2016-09-14 22:06:40,2.0,1.470875,-19.6999995,3.5900001,-6.06500005,para,12.192949971659512,0.5014535991441758,BL
1021,43.661793,2016-08-09,9.0,4,1.3804884,2.0,2883.555775,1470778800.0,-5.777547675,9.1956812,-2.2908716,4.0,11.09920275,0.44081944749999996,2016-08-09 21:33:20,2.0,2.20483325,-16.85000025,-1.655750015,-2.5522499499999998,para,13.589240499994101,0.5014535991441758,BL
1022,43.661868,2017-07-17,1.0,3,1.3804871,2.0,2172.985,1500250066.6666667,-11.031281333333334,6.639603766666667,0.8914436133333332,0.0,12.906174333333333,0.8194568533333334,2017-07-17 00:03:20,2.0,2.3006667333333333,-43.19999933333333,7.485999933333335,-1.4079999666666667,para,19.206322084579913,0.2400181939210153,BL
1023,43.66196,2017-03-20,1.0,4,1.380487,2.0,2883.555775,1489987800.0,-2.0641036250000004,-9.611568700000001,-3.960873675,0.0,10.599006,0.7775496500000001,2017-03-20 05:23:20,2.0,1.768500025,-0.150000005,3.205000025,-2.288500075,para,12.687750156105157,0.5014539501618178,BL
1024,43.662015,2016-08-10,10.0,4,1.3804884,2.0,2883.555775,1470823800.0,-6.91501145,2.18701465,-0.5140705775000001,4.0,7.27132705,0.091350842,2016-08-10 10:03:20,2.0,1.924375025,-24.299999500000002,3.5115,0.09300000075,para,9.554906219660964,0.5014535991441758,BL
1025,43.662063,2016-09-11,7.0,4,1.3804884,2.0,2883.555775,1473630300.0,-2.633654225,11.28660425,-3.038884325,4.0,11.98172275,1.14158125,2016-09-11 21:36:40,2.0,1.7975,-8.64999985,-4.554500225000001,-2.130500075,para,12.136703451828351,0.5014535991441758,PS
1026,43.662449,2016-05-30,6.0,4,1.3804861,2.0,2883.552725,1464593100.0,-11.498280000000001,-1.639486125,-1.2422006749999999,0.0,11.680962000000001,0.1782776775,2016-05-30 07:16:40,2.0,2.2323749999999998,-8.3499999,-3.45900015,-1.95999995,para,16.07340219794692,0.5014541758161465,BL
1027,43.663078,2016-08-18,4.0,4,1.3804884,2.0,2883.555775,1471496400.0,-7.95163625,7.0433812499999995,-2.434997525,0.0,10.8981855,0.194765875,2016-08-18 04:53:20,2.0,0.85199997,-26.950000250000002,-3.392499925,-4.01150025,para,15.168935832535816,0.5014535991441758,BL
