,energy,pitch angle,flag,flux,eflux,bx,xgsm,ygsm,zgsm,beta,imfBy,imfBz,storm_phase,velocity_o_all,v_par_all,v_perp_all,density_o_all,pressure_o_all,density_h_all,swp,swv,kp,dst,datetime_str,year,kp_gt_2,storm,region,energy_int
185945,1.8421173095703118,16.875,1.0,2431.213018886279,131009.64664713539,66.55008697509766,-5.82390722283192,1.206351816750358,1.7979720053427068,0.5937042525777854,7.181594371795653,2.658260583877563,main phase,5.440864346814274,2.169708424307053,4.97925282919888,0.1901887902881468,0.2076001689109855,0.8367246357331255,1.884793162345886,485.2695007324219,3.6166666666666663,18.0,2017-09-07 20:11:00,2017,True,True,2.0,2.0
621764,1.8421173095703118,174.375,-1.0,725.4602414497368,27557.2001953125,23.19669532775879,-2.495152005330724,-7.078581436010321,0.4130687282356591,0.2925194370039783,2.0075364112854,0.2231883853673935,nonstorm,9.238456985979179,3.3782334955919713,8.319367028427967,0.056340541428242866,0.01511768568488801,1.7045599765709387,0.6425251960754395,373.0203552246094,0.3,1.5,2018-06-21 22:55:00,2018,False,False,1.0,2.0
229922,1.8421173095703118,5.625,1.0,510.2226400564302,21710.78845214844,23.19669532775879,-2.495152005330724,-7.078581436010321,0.4130687282356591,0.2925194370039783,2.0075364112854,0.2231883853673935,nonstorm,9.238456985979179,3.3782334955919713,8.319367028427967,0.056340541428242866,0.01511768568488801,1.7045599765709387,0.6425251960754395,373.0203552246094,0.3,1.5,2018-06-21 22:55:00,2018,False,False,1.0,2.0
229923,1.8421173095703118,5.625,1.0,861.6351523139567,33477.744140625,23.62321853637695,-2.449260886617697,-7.033809696402707,0.4024270392825702,0.266796137075924,2.003643035888672,0.2194285541772842,nonstorm,10.63655876893076,5.246516431257849,8.567856872153754,0.05517028956849887,0.01594179389599345,1.7310980457500817,0.641683042049408,373.1496276855469,0.3,1.0,2018-06-21 22:57:00,2018,False,False,1.0,2.0
621778,1.8421173095703118,174.375,-1.0,517.8216807871752,20747.949462890618,33.07306289672852,-1.840371857148259,-6.4151291842061475,0.2686244397030206,0.1034412278927968,2.021551847457886,0.2087068855762482,nonstorm,13.98130228149866,5.035331666945604,12.29406406190225,0.052467258736860034,0.02138323613322096,2.008396761660531,0.6416666507720947,374.6298522949219,0.3,3.0,2018-06-21 23:23:00,2018,False,False,1.0,2.0
621785,1.8421173095703118,174.375,-1.0,788.3427282242517,35623.26953125,40.72549819946289,-1.502826689094558,-6.049994565314349,0.1989856762078047,0.05297169055598557,1.9714895486831672,0.1801063716411591,nonstorm,10.53125521060691,4.5880886734937505,8.88228198374207,0.06372120212696003,0.025031956459987,3.388102247788227,0.6405971050262451,376.0492553710938,0.3,3.0,2018-06-21 23:37:00,2018,False,False,1.0,2.0
626222,1.8421173095703118,174.375,-1.0,1294.674579410489,57673.35791015625,68.36280822753906,-2.843606879958033,-5.501484519492873,2.742643337685002,0.07572880916005084,-3.340266466140747,-0.9094668626785278,nonstorm,13.80574637195379,8.24255451835504,9.716376826707934,0.030152282685153187,0.01055135175142494,0.6663697505383367,1.0104960203170779,410.7149353027344,1.0,-6.0,2018-06-30 10:11:00,2018,False,False,1.0,2.0
626224,1.8421173095703118,174.375,-1.0,488.02245333131737,17698.7705078125,71.32145690917969,-2.7360202072974755,-5.430776744575408,2.688436562632579,0.06812154104073888,-3.323445796966553,-0.7956758737564087,nonstorm,17.96568143835519,10.372675566375019,13.13337664732485,0.03325493642452609,0.01127124932947433,0.7379988244690576,0.9875537753105164,409.9849243164062,1.0,-6.0,2018-06-30 10:15:00,2018,False,False,1.0,2.0
626236,1.8421173095703118,174.375,-1.0,549.9007138905674,22518.48193359375,95.73072814941406,-2.072493988495415,-4.973904278361588,2.337366720490333,0.03059141933330915,-2.895769834518433,0.04900003597140312,nonstorm,11.982350078307691,8.178332935601443,8.314585143387227,0.03959656284093336,0.01434919173229741,0.741353299147344,0.8441963195800781,403.9778442382812,1.0,-5.0,2018-06-30 10:39:00,2018,False,False,1.0,2.0
236631,1.8421173095703118,28.125,1.0,67.31206393810668,2459.35498046875,17.20554733276367,-22.944977291665868,-4.280731759538158,9.012719700829813,0.002881763506684791,2.96599555015564,0.041852697730064385,nonstorm,27.9964014516195,22.269184827179387,14.2286880502526,0.002686964991639822,7.295225995933142e-06,0.041666900636801965,2.212538480758667,326.0211791992188,1.0,10.0,2018-07-04 13:53:00,2018,False,False,1.0,2.0
239639,1.8421173095703118,5.625,1.0,220.4764757219523,11209.61865234375,16.5284252166748,-22.560671828540823,-2.938710569275052,7.401446246909883,0.1267060539577088,1.244328498840332,0.3800926506519318,nonstorm,176.5007902875351,80.49946677929977,143.9706503113459,0.001035266875447566,1.7936679939449388e-05,0.062075807338335835,0.5584238767623901,364.55078125,1.291666666666667,3.0,2018-07-09 23:35:00,2018,False,False,1.0,2.0
