,datetime_str,v_perp_h_all,v_perp_o_all,ygsm,energy,n_weighted
18837,2019-10-08 06:27:30,63.766368880312406,61.290591354846974,4.200510363242421,1473.729995727539,0.0027377090882509947
18839,2019-10-08 06:37:30,67.8766566478043,15.41758400896696,3.9873590273541866,95.23999786376952,0.016908465696362042
18840,2019-10-08 06:42:30,100.95686235409201,11.634926811861419,3.8807094990775752,49.20000076293945,0.02716336963970068
18841,2019-10-08 06:47:30,62.825625599238606,14.88759925045025,3.7740221771802016,95.23999786376952,0.0211411011866783
19432,2019-10-18 17:32:30,69.56095915553631,24.99645813954793,7.334201623542267,356.9700012207031,0.0010910077907608786
19433,2019-10-18 17:37:30,82.56891614181914,117.6524937389238,7.24891014828372,356.9700012207031,0.00071579419208458
19434,2019-10-18 17:42:30,110.9810081729757,17.138879668462632,7.162810392408082,356.9700012207031,0.0007163542251673804
19437,2019-10-18 19:27:30,87.81214556890173,62.15241149407814,5.151936699770464,1338.0400390625,0.0005408759461715816
19438,2019-10-18 19:32:30,65.11468737146379,91.55739717440248,5.045778513859206,691.1099853515625,0.00017423383542336518
19499,2019-10-22 07:17:30,60.98867085817519,5.229280882094959,5.020208963919506,49.20000076293945,0.001726607153953542
19500,2019-10-22 07:22:30,201.05557434998002,7.239096104748364,4.895812847996155,49.20000076293945,0.004085371300348493
19501,2019-10-22 07:27:30,298.1922473629254,7.97579839716538,4.771309344743324,95.23999786376952,0.001076093630638982
19502,2019-10-22 07:32:30,156.485175373585,7.459178294520951,4.646700035895403,49.20000076293945,0.003636446732917818
19616,2019-10-25 10:17:30,73.86209737326223,73.23211916787103,14.560284775755001,2590.489990234375,0.002207272686064243
19623,2019-10-25 10:52:30,60.10773026990528,61.10497962227978,14.083755616197829,1338.0400390625,0.0009545947541482748
19625,2019-10-25 11:02:30,229.3318423374185,33.23862393859421,13.95103761414124,691.1099853515625,0.004283706043827495
19626,2019-10-25 11:07:30,116.32012913895588,40.003196841570784,13.885204265909008,1338.0400390625,0.0004249676712788641
19627,2019-10-25 11:12:30,147.3460108244772,60.22111815929603,13.81970690927495,1338.0400390625,0.00931999090988847
19628,2019-10-25 11:17:30,154.3939820149997,38.52404406040021,13.754534044354381,1338.0400390625,0.007019873876879904
19629,2019-10-25 11:22:30,87.54209137805498,83.06770858405768,13.68967360813819,1338.0400390625,0.001120968838222325
19634,2019-10-25 11:47:30,300.6760915121048,55.522000458782934,13.3696095802579,1338.0400390625,0.001569931954227467
19635,2019-10-25 11:52:30,136.2435221298987,43.35514135424963,13.30634876798835,691.1099853515625,0.004841069121605124
19636,2019-10-25 11:57:30,222.52394594902455,44.27463999095807,13.24330529842447,691.1099853515625,0.0002217595611000434
19637,2019-10-25 12:02:30,68.02490675237472,64.68262107669845,13.180463702253473,1338.0400390625,0.0009524463093839586
19638,2019-10-25 12:07:30,77.15801308584068,79.6748677473278,13.1178081422292,2590.489990234375,0.0005533277289941907
19639,2019-10-25 12:12:30,71.25642594038719,191.2812194063622,13.05532316938924,1338.0400390625,0.0003299704694654793
19640,2019-10-25 12:17:30,62.032563147481966,121.43184534965799,12.992992932265134,1338.0400390625,0.002713620274498739
19646,2019-10-25 12:47:30,61.4491688440654,145.93758550496358,12.621314562197552,691.1099853515625,0.0010997979881199331
19647,2019-10-25 12:52:30,92.87404406019155,63.07241987844776,12.55959062423408,691.1099853515625,0.001244572107680142
19648,2019-10-25 12:57:30,62.60523156008807,56.5767688459441,12.49788285698195,691.1099853515625,0.001356275053694844
19649,2019-10-25 13:02:30,69.96288045505895,46.43083550045701,12.43617327324366,691.1099853515625,0.0009433851810172199
19650,2019-10-25 13:07:30,60.43547340789768,48.21960801191515,12.37444368584842,1338.0400390625,0.002446414759906197
19664,2019-10-25 14:17:30,81.91328304264621,34.140234420240056,11.4976961492501,1338.0400390625,0.001654061194231626
19668,2019-10-25 14:37:30,260.58609418097564,30.10161102857912,11.2386456616134,356.9700012207031,0.005272511159345448
19669,2019-10-25 14:42:30,314.9932567410355,51.73120582243133,11.172997314426338,356.9700012207031,0.00317533722335625
19670,2019-10-25 14:47:30,90.31815705326923,48.251923184816725,11.10695896583294,356.9700012207031,0.003226685209339272
19671,2019-10-25 14:52:30,99.92125762362105,48.53979985757567,11.04051279150445,356.9700012207031,0.002651588060088654
19672,2019-10-25 14:57:30,155.3318138430669,120.0887389984013,10.97364149283122,847.5050201416016,0.001269887463422492
19673,2019-10-25 15:02:30,126.53331781356172,97.99367956721777,10.906327614998519,1338.0400390625,0.0004905861569568515
19674,2019-10-25 15:07:30,126.7763843092157,165.5829353886933,10.83855409860125,5015.2900390625,0.00046165060484781867
19675,2019-10-25 17:07:30,69.15024365341273,55.950961724281704,9.03344963081525,356.9700012207031,0.0004679789126385003
19676,2019-10-25 17:12:30,490.2714445995721,24.291045444961465,8.94927343667984,184.3800048828125,0.00393766865977546
19677,2019-10-25 17:17:30,267.9225196323212,33.68142055883665,8.864271512840784,184.3800048828125,0.010744393104557309
19678,2019-10-25 17:27:30,255.9598672642267,15.31322070784817,8.691745935748692,184.3800048828125,0.028469675916768782
19679,2019-10-25 17:32:30,294.04226959424665,29.559751627569128,8.604200451538004,184.3800048828125,0.01002778494463853
19680,2019-10-25 17:37:30,222.2652639533981,33.798978244572766,8.515785481487931,184.3800048828125,0.02118494500739596
19681,2019-10-25 17:42:30,161.2531129307124,83.93468205475499,8.426490173805115,356.9700012207031,0.0024253498614868647
19682,2019-10-25 17:47:30,63.217310454255845,25.3824244529534,8.336304159212284,95.23999786376952,0.0039278645770744035
19683,2019-10-25 17:52:30,900.1713989591765,22.661982584859,8.24521709442638,95.23999786376952,0.005708837148718547
19684,2019-10-25 17:57:30,180.483372713642,26.39541869173469,8.153218666606842,95.23999786376952,0.0024418195869603783
19700,2019-10-25 19:22:30,95.29157608671896,55.66254174612655,6.439933209845287,1338.0400390625,0.004352316412122983
19704,2019-10-25 19:52:30,96.02388884500648,37.904143170898365,5.762098670392045,1338.0400390625,0.003085970737964834
19705,2019-10-25 19:57:30,74.34239244171701,31.14336401200927,5.645098595099197,356.9700012207031,0.001193898031488061
22166,2020-05-30 08:12:30,111.25132101572608,23.155900254583006,-4.200408568856433,25.40999984741211,0.07412325533791164
22174,2020-05-30 09:12:30,65.95305711392507,90.5156604152072,-5.376783445711965,1338.0400390625,0.004805599339306354
22178,2020-05-30 09:32:30,71.65048424405333,55.16233112545364,-5.759658426101848,1338.0400390625,0.02867942775037764
23176,2020-06-27 06:07:30,137.9340072701693,7.180839822034434,0.4706180475802234,13.11999988555908,0.00105659244582057
23320,2020-07-04 05:52:30,223.866131525341,19.85424356020022,1.363152133015576,95.23999786376952,0.0005312319262884556
23321,2020-07-04 05:57:30,141.2295359724472,18.58065367667425,1.329729771708533,49.20000076293945,0.0007627898012287915
23890,2020-07-18 06:27:30,88.39634418790001,100.25386674897058,3.2287168012773484,184.3800048828125,0.000846294665932938
23891,2020-07-18 06:32:30,81.66599662938094,38.89270078866561,3.2222138941321403,95.23999786376952,0.0001347995712421834
23892,2020-07-18 06:37:30,63.51474078557825,17.94862905261152,3.2154279033695845,95.23999786376952,0.001616849568007976
23893,2020-07-18 06:42:30,112.1710294448902,40.58659802813304,3.2083571106040094,95.23999786376952,0.001010244766192044
24101,2020-07-25 06:12:30,252.5366263276302,46.87538789923489,4.299600211057716,356.9700012207031,0.0047613242641091355
24102,2020-07-25 06:17:30,196.6913365960088,50.11475744073961,4.306653074001804,356.9700012207031,0.0029365415684878826
24103,2020-07-25 06:22:30,546.531243833161,31.88977135673471,4.3132900075324985,184.3800048828125,0.000840948719996959
24104,2020-07-25 06:27:30,225.3136119445007,36.03143798638564,4.319512943035541,226.10499954223636,0.0038145183352753524
24105,2020-07-25 06:32:30,208.6585815742921,28.10172407708292,4.325323323549318,95.23999786376952,0.005847053602337836
24106,2020-07-25 06:37:30,375.0091308009941,40.008323395714285,4.330722163926005,49.20000076293945,0.006165001075714828
24107,2020-07-25 06:42:30,328.350238905122,58.855076297158696,4.3357101071687385,184.3800048828125,0.002266711322590709
24108,2020-07-25 06:47:30,487.3607295258459,45.00822138950431,4.340287401238224,184.3800048828125,0.001337348017841578
24113,2020-07-25 07:12:30,64.61475731005574,28.09419748067743,4.357000620307292,95.23999786376952,0.003142957575619221
24114,2020-07-25 07:17:30,80.3670098362449,49.07912977921607,4.359101933421017,184.3800048828125,0.001667117234319448
24115,2020-07-25 07:22:30,92.75604368097223,49.12473174631708,4.360786109846492,184.3800048828125,0.0029873210005462174
24765,2020-09-04 17:32:30,219.5503085909919,13.721379279753759,-2.950488145094705,25.40999984741211,0.001929880797328964
24766,2020-09-04 17:37:30,619.8810363181857,12.990927032868381,-2.965631617067778,49.20000076293945,0.002188175206708358
24767,2020-09-04 17:42:30,399.8915364121767,11.099728274495199,-2.98066730216505,25.40999984741211,0.0009206172738154015
24768,2020-09-04 17:47:30,496.90788900934893,10.54984433201159,-2.9955943742570765,25.40999984741211,0.0003041093586944044
24769,2020-09-04 17:52:30,383.0276597732187,11.926327866172313,-3.010411395851172,25.40999984741211,0.0012993712083514619
24770,2020-09-04 18:07:30,652.5139738595634,11.85382143786046,-3.054178440806913,25.40999984741211,0.0007646382180052501
24771,2020-09-04 18:12:30,460.5422903504219,15.72529424440272,-3.06852816031281,49.20000076293945,0.0005084163858448125
24772,2020-09-04 18:17:30,178.2021409008964,11.20549093052864,-3.082750726899576,25.40999984741211,0.0009614713031237688
25033,2020-09-18 17:07:30,60.67631462606537,61.81010678813755,-1.1984718809967958,691.1099853515625,0.005674792209988067
25034,2020-09-18 17:12:30,101.8439626255007,40.579597780543295,-1.2344521798740993,691.1099853515625,0.0002077691169688478
25047,2020-09-18 18:17:30,67.41146674115421,11.631142518012972,-1.7152122199051385,49.20000076293945,0.003721323433985043
25050,2020-09-18 18:32:30,64.6428765526135,27.740728034069143,-1.829083758046261,49.20000076293945,0.0075468438436546706
25051,2020-09-18 18:37:30,69.53080736348427,20.09760356515319,-1.867186135864739,49.20000076293945,0.008493383010152306
25052,2020-09-18 18:42:30,67.98917221061969,13.26817003427167,-1.905335860904399,49.20000076293945,0.00595993174785383
25053,2020-09-18 18:47:30,87.18064923948916,15.086612891931761,-1.943514963158955,49.20000076293945,0.0003723416302818805
25054,2020-09-18 18:52:30,105.7090129062374,4.926603066198258,-1.9817033914100437,49.20000076293945,0.008489733358648712
25197,2020-09-22 04:47:30,84.15160357188314,64.17758193705141,-0.7881243097617828,184.3800048828125,0.002288118936121464
25198,2020-09-22 04:52:30,75.06223502198334,37.29336249102243,-0.8648081345440157,184.3800048828125,0.010395256802439691
25432,2020-09-25 16:12:30,69.39303659042153,43.70148868760101,0.1600792709567267,356.9700012207031,0.0006855532093100783
25435,2020-09-25 16:37:30,80.65815534777356,18.00641281319201,-0.06126645933253003,184.3800048828125,6.07714282523375e-05
25438,2020-09-25 16:52:30,120.9607947298251,14.81523263911244,-0.1971428765691367,95.23999786376952,0.0032432231598687267
25439,2020-09-25 16:57:30,140.3451654288789,16.42408208228522,-0.2429874930614563,49.20000076293945,0.006765752621696954
25440,2020-09-25 17:02:30,253.6135674296109,16.98057962902728,-0.2891177165528593,95.23999786376952,0.0004156658251304179
25441,2020-09-25 17:07:30,268.61762636933844,24.31930224577361,-0.3355382941174341,184.3800048828125,0.003960654768341522
25442,2020-09-25 17:12:30,311.79802210474134,25.53827323984342,-0.3822533874820837,49.20000076293945,0.005069582966064609
25443,2020-09-25 17:17:30,172.91733055935055,115.547963404342,-0.4292664868808357,95.23999786376952,0.0004190897452645004
26338,2020-10-06 03:17:30,89.86414039820903,16.88341127458526,3.4639740139011264,95.23999786376952,0.06952577658475875
26339,2020-10-06 03:22:30,82.74690589347334,16.16655789679957,3.363342342081695,95.23999786376952,0.032570060644996734
26341,2020-10-06 03:32:30,124.244357272803,14.975747160700536,3.161368908433439,95.23999786376952,0.03852269891354199
26344,2020-10-06 03:47:30,74.30013203797435,14.814862762151382,2.8569521177140023,95.23999786376952,0.0043910709209740145
26345,2020-10-06 03:52:30,63.982020336566286,12.57168375326925,2.755179109134291,95.23999786376952,0.005609543528407812
26346,2020-10-06 03:57:30,109.59025586131919,12.710013133027392,2.653293399197536,95.23999786376952,0.0425761173674738
26347,2020-10-06 04:02:30,91.65918983163616,17.24194346651373,2.551317620427081,95.23999786376952,0.0036652043927460905
26349,2020-10-06 04:12:30,114.08821982556641,20.42706180389498,2.347187495289183,95.23999786376952,0.007006437983363867
26352,2020-10-06 04:27:30,60.42785511769128,17.74326579939368,2.040899902616964,184.3800048828125,0.07378688702988329
26354,2020-10-06 04:37:30,195.32368398760707,15.581971135340462,1.836924675253352,95.23999786376952,0.05207153569241862
26355,2020-10-06 04:42:30,102.2989181590359,19.73858001760988,1.7350743783253568,95.23999786376952,0.01941945648995199
26555,2020-10-13 02:22:30,237.6523025358471,45.67406941062328,6.165554110973398,95.23999786376952,0.00040832615923136467
26556,2020-10-13 02:27:30,123.8622758688991,25.27207418904225,6.061257042740022,49.20000076293945,0.0008047323208302257
26557,2020-10-13 02:32:30,94.68146390571958,18.2361698117775,5.956411666748741,49.20000076293945,0.009583864497514813
26567,2020-10-13 04:32:30,61.13880718948253,12.185739488065913,3.3244024003311066,49.20000076293945,0.035404377148927815
26568,2020-10-13 04:37:30,67.88942416189033,11.460865388058341,3.212230066518808,49.20000076293945,0.07664555634046741
26587,2020-10-13 06:17:30,62.17848806559028,14.19780268310878,1.00118675947953,95.23999786376952,0.07463711414258607
26646,2020-10-16 18:52:30,132.6800311342382,9.256470875233179,1.80702964185898,25.40999984741211,0.00414494221511267
26647,2020-10-16 18:57:30,81.97067052162859,6.2162400669125795,1.7207279927724282,6.769999980926514,0.0064841351121638436
26648,2020-10-16 19:02:30,103.09306044618843,8.494193708988709,1.6335462098048652,13.11999988555908,0.0007415401632897558
26802,2020-10-20 00:12:30,70.82563110718357,21.80370988875482,10.109639902205679,356.9700012207031,0.001842875289324462
26805,2020-10-20 00:37:30,172.07199388534661,21.36456224508976,9.647468490460037,184.3800048828125,0.001273914753979595
26806,2020-10-20 00:42:30,176.74907477074058,25.14854257104567,9.552490243422657,356.9700012207031,0.001419021140612765
26807,2020-10-20 00:47:30,608.5900503148322,13.579096353178198,9.45667277360331,95.23999786376952,0.0004436028686627072
26808,2020-10-20 01:02:30,235.8639970327423,11.86368693671308,9.164235022173118,95.23999786376952,0.0017328399365707401
26813,2020-10-20 01:37:30,168.1885858136211,18.73933037271473,8.453596316516954,95.23999786376952,0.003124308113784774
26814,2020-10-20 01:52:30,379.60308475267465,17.651880089054448,8.137431132169564,95.23999786376952,0.01268715439648358
26815,2020-10-20 01:57:30,209.15479793346734,23.21986523827398,8.030566874330594,95.23999786376952,0.0008430266378567797
26816,2020-10-20 02:02:30,124.2634238784527,25.10365933344895,7.92298438271271,184.3800048828125,0.001232929359620909
26826,2020-10-20 04:57:30,113.26699540502199,30.682016807721897,3.836038517108413,184.3800048828125,0.0008922715787775815
26830,2020-10-20 05:17:30,241.06115574839959,21.07475410323444,3.351318165645392,95.23999786376952,0.0007854897412471472
26831,2020-10-20 05:22:30,179.02804604612967,12.696608120655078,3.230368698512501,49.20000076293945,0.001279419986531138
26838,2020-10-20 06:27:30,521.7315923348765,19.66924759389486,1.6792204240795434,49.20000076293945,0.002071090042591095
26839,2020-10-20 06:32:30,453.4631005084668,7.7297344778345884,1.562311638842923,25.40999984741211,0.007343592363042639
26840,2020-10-20 06:37:30,541.5115228920644,16.41310240809072,1.445853421024916,13.11999988555908,0.002438349416479468
26841,2020-10-20 06:47:30,434.1846115246663,11.22125211777414,1.214370521817157,49.20000076293945,0.0009273538016714157
26914,2020-10-23 12:57:30,65.19371314475681,67.26611946971397,7.704958705672213,691.1099853515625,0.002396032679826022
27115,2020-10-26 22:07:30,61.8597737689189,48.41786142372905,13.89581066448013,1338.0400390625,0.0001520504301879555
27116,2020-10-26 22:12:30,69.40544388475567,45.04099913561596,13.82595352430063,1338.0400390625,0.001684988268988281
27117,2020-10-26 22:17:30,138.1875286751583,32.68895027140531,13.755214087071064,1338.0400390625,0.001948361220493455
27118,2020-10-26 22:22:30,99.63628249112551,39.86505401610346,13.68359007321684,1338.0400390625,9.538596350466833e-05
27119,2020-10-26 22:52:30,78.22371154492457,144.3399638492039,13.235142247652519,2590.489990234375,0.0034511481392629053
27120,2020-10-26 22:57:30,300.6823697787358,147.2431963290283,13.15726342302773,2590.489990234375,0.00011470482422737399
27121,2020-10-26 23:02:30,86.95988825437222,20.40945579847244,13.07848246489171,691.1099853515625,0.0009911754748849887
27122,2020-10-26 23:22:30,96.04230545772914,35.79747678439113,12.75429976796041,691.1099853515625,0.003633795054919171
27137,2020-10-27 00:57:30,140.3790158850668,74.48619554481473,11.0148628189812,2590.489990234375,0.0014397385530173779
27138,2020-10-27 01:02:30,202.8744535463726,57.852279671563565,10.91422103615654,2590.489990234375,0.002187942853197455
27139,2020-10-27 01:07:30,96.22088408986684,52.13195575560563,10.81268757278826,2590.489990234375,0.003184171626344323
27140,2020-10-27 01:12:30,109.3517156842605,31.437003652556246,10.710267329261061,2590.489990234375,0.003311100490197063
27141,2020-10-27 01:17:30,157.3348896815778,50.62962636180626,10.606965574654039,2590.489990234375,0.0004752626409754157
27155,2020-10-27 03:07:30,86.99619792204003,25.71204144437536,8.12918323178124,356.9700012207031,0.0006591445417143402
27156,2020-10-27 03:12:30,133.3064553220255,20.04509223276834,8.008394269454191,184.3800048828125,0.0003272201283834875
27157,2020-10-27 03:17:30,117.3328004464078,29.43736069988524,7.8870272621957636,356.9700012207031,0.001274597702823566
27158,2020-10-27 03:27:30,116.797914849366,24.491442483178147,7.642641157943723,356.9700012207031,0.0025113640779569264
27159,2020-10-27 03:32:30,101.9935615906678,42.66045547333532,7.519663615488075,356.9700012207031,0.0008204674568067293
27160,2020-10-27 03:37:30,113.19520968411699,30.48934919216926,7.396191711660694,356.9700012207031,0.01034064593307372
27161,2020-10-27 03:42:30,129.3521734407144,41.634321154340384,7.272247836568147,356.9700012207031,0.012365227171451441
27162,2020-10-27 03:47:30,144.8688442682083,63.79317170592335,7.147854494474182,356.9700012207031,0.002832962077792616
27163,2020-10-27 03:52:30,105.31805033667179,51.3972463559294,7.023034477842027,356.9700012207031,0.0007929606363177297
27557,2020-11-02 23:42:30,63.98346814495306,45.01679920221486,13.65930583052201,1338.0400390625,0.004058255614127855
27558,2020-11-02 23:47:30,162.8544751895103,34.78880591253524,13.570657209787461,691.1099853515625,0.002553477269484372
27567,2020-11-03 00:57:30,120.28990229297241,27.46454263952361,12.22953160357544,691.1099853515625,0.0005840631543837826
27568,2020-11-03 02:12:30,106.52212944650199,78.57209536690384,10.587814633606278,2590.489990234375,0.004255910202365552
27569,2020-11-03 02:17:30,96.09310724108794,49.953679133050706,10.471211487008553,1338.0400390625,0.00016510671412106598
27570,2020-11-03 02:22:30,73.59397930436235,69.43372419201606,10.353766393989767,1338.0400390625,0.004461149332650699
27668,2020-11-06 11:17:30,76.04094710021215,53.6585550118626,11.62174986671644,691.1099853515625,0.001249771600609978
